"","punk","bid","bid_withdrawn","offer","offer_withdrawn","transfer","unwrap","wrap","largest_bid","sold_price","sold_date","last_sold_price"
"8696",1948,1,1,9,1,0,0,0,"50","63",2019-05-06,"38"
"8697",1948,0,0,1,0,0,0,0,NA,"38",2018-09-01,"NA"
"8698",1949,0,0,6,2,0,0,0,NA,"403460",2021-08-27,"169013"
"8699",1949,1,0,10,0,1,0,0,"171358","169013",2021-08-12,"59800"
"8700",1949,1,1,2,0,1,0,0,"47383","59800",2021-07-30,"NA"
"8701",1950,0,0,1,0,0,0,0,NA,"324064",2021-08-27,"66117"
"8702",1950,0,0,2,0,0,0,0,NA,"66117",2021-04-29,"59658"
"8703",1950,0,1,2,0,1,0,0,NA,"59658",2021-04-28,"32290"
"8704",1950,2,1,1,0,1,0,0,"31025","32290",2021-03-23,"NA"
"8705",1951,0,0,1,0,0,0,0,NA,"437486",2021-08-27,"124451"
"8706",1951,0,0,13,0,0,0,0,NA,"124451",2021-07-30,"57577"
"8707",1951,2,1,12,1,0,0,0,"57577","57577",2021-07-17,"60471"
"8708",1951,6,4,12,0,0,0,0,"65462","60471",2021-06-10,"58000"
"8709",1951,3,2,5,0,1,0,0,"67377","58000",2021-05-23,"129582"
"8710",1951,3,2,24,4,3,2,2,"34054","129582",2021-05-15,"448"
"8711",1951,3,1,1,0,1,0,0,"68","448",2018-01-15,"NA"
"8712",1952,0,0,1,0,0,0,0,NA,"295546",2021-08-27,"60"
"8713",1952,0,0,1,0,0,0,0,NA,"60",2017-07-07,"NA"
"8714",1953,1,0,2,0,0,0,0,"875910","875910",2021-08-27,"478297"
"8715",1953,4,3,1,0,0,0,0,"93931","478297",2021-08-05,"52549"
"8716",1953,6,2,1,0,0,0,0,"52811","52549",2021-02-19,"NA"
"8717",1954,0,0,4,1,0,0,0,NA,"380549",2021-08-27,"NA"
"8718",1955,0,0,1,0,0,0,0,NA,"303673",2021-08-27,"69"
"8719",1955,1,0,1,0,0,0,0,"69","69",2017-07-18,"NA"
